gene,control_rep2,control_rep1,exp_rep2,exp_rep1,exp_rep3,control_rep3
ENSG00000290825.1,0,0,3,2,1,0
ENSG00000223972.6,0,0,0,0,0,0
ENSG00000227232.6,146,150,200,164,212,220
ENSG00000278267.1,0,0,0,0,0,2
ENSG00000243485.5,1,2,4,4,1,2
ENSG00000284332.1,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0
ENSG00000238009.7,2,1,0,2,3,1
ENSG00000239945.1,0,0,0,0,0,0
ENSG00000233750.3,5,3,9,6,4,10
ENSG00000268903.1,45,56,70,54,57,73
ENSG00000269981.1,22,39,41,27,44,48
ENSG00000239906.1,2,1,2,0,1,0
ENSG00000241860.7,16,35,37,36,22,23
ENSG00000222623.1,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0
ENSG00000279457.4,72,99,121,100,113,119
ENSG00000273874.1,0,0,0,0,0,0
ENSG00000292994.1,24,31,31,22,27,34
ENSG00000228463.11,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0
ENSG00000236679.2,0,0,1,0,1,0
ENSG00000236601.2,0,0,0,0,0,0
ENSG00000290385.1,30,31,64,41,25,41
ENSG00000269732.1,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0
ENSG00000293331.1,5,14,13,21,9,18
ENSG00000235146.2,0,0,0,0,0,0
ENSG00000225972.1,1018,1478,1682,1577,2070,1626
ENSG00000225630.1,755,788,1075,1034,1203,993
ENSG00000237973.1,364,374,509,467,555,543
ENSG00000278791.1,0,0,0,0,0,0
ENSG00000229344.1,31,25,53,39,80,45
ENSG00000240409.1,1,1,0,1,2,0
ENSG00000248527.1,3331,4425,4623,4201,5787,4660
ENSG00000198744.5,43,63,85,56,113,67
ENSG00000268663.1,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0
ENSG00000229376.3,2,0,1,4,1,3
ENSG00000291215.1,110,112,151,129,88,126
ENSG00000223181.1,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0
ENSG00000228327.6,0,0,0,0,0,0
ENSG00000237491.10,17,20,26,27,23,25
ENSG00000285268.1,0,0,0,0,0,0
ENSG00000290784.1,4,3,6,5,4,3
ENSG00000230092.8,0,0,0,0,0,0
ENSG00000177757.2,1,2,4,6,4,5
ENSG00000225880.6,29,52,47,31,50,42
ENSG00000228794.12,1751,1996,2288,2359,2109,2649
ENSG00000288531.1,0,1,3,3,2,0
ENSG00000230368.2,1,1,4,1,1,2
ENSG00000234711.1,0,1,1,0,0,0
ENSG00000283040.1,0,0,1,1,0,1
ENSG00000272438.1,22,21,30,27,28,28
ENSG00000230699.2,102,104,133,102,134,119
ENSG00000241180.1,2,0,1,1,4,4
ENSG00000223764.2,88,75,109,81,124,128
ENSG00000187634.13,93,90,53,59,148,131
ENSG00000188976.11,10656,11020,11209,11524,13440,14225
ENSG00000187961.15,258,343,411,361,341,383
ENSG00000187583.11,103,116,143,149,126,141
ENSG00000187642.10,3,3,0,2,0,0
ENSG00000272512.1,21,16,42,22,25,23
ENSG00000188290.11,438,450,426,366,713,554
ENSG00000187608.10,588,614,501,493,581,848
ENSG00000231702.2,0,1,0,0,0,2
ENSG00000224969.1,4,6,9,12,8,12
ENSG00000188157.15,50969,51916,58940,60960,69113,68225
ENSG00000242590.1,0,0,0,0,0,0
ENSG00000291156.1,63,82,71,80,64,68
ENSG00000273443.1,7,3,2,4,4,1
ENSG00000217801.13,5,14,11,10,10,6
ENSG00000237330.3,32,41,41,30,42,35
ENSG00000131591.18,831,846,911,884,1227,1128
ENSG00000285812.1,7,17,26,14,11,12
ENSG00000223823.1,0,1,0,0,0,0
ENSG00000207730.3,2,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,2
ENSG00000198976.1,0,5,1,0,1,0
ENSG00000272141.1,5,9,7,5,8,10
ENSG00000205231.1,14,17,11,2,11,14
